Country;Waypoint;Latitude;Longitude;;;;;;;;;;;
Belarus;DERAD;53,415000;30,81805556;;;;;;;;;;;
Belarus;DIBON;51,893056;26,12138889;;;;;;;;;;;
Belarus;DIVIM;52,189722;25,04805556;;;;;;;;;;;
Belarus;DOMAN;52,551389;24,84138889;;;;;;;;;;;
Belarus;DULEB;53,818333;29,38972222;;;;;;;;;;;
Belarus;ELDOK;53,801389;25,07972222;;;;;;;;;;;
Belarus;ENOBI;53,592778;23,62972222;;;;;;;;;;;
Belarus;GANVI;52,954722;26,40305556;;;;;;;;;;;
Belarus;GIDKA;53,938333;30,20305556;;;;;;;;;;;
Belarus;GOGER;52,604722;30,32138889;;;;;;;;;;;
Belarus;GOMAD;51,866389;29,965;;;;;;;;;;;
Belarus;GORUL;52,424722;30,38833333;;;;;;;;;;;
Belarus;GOVIK;53,601389;26,82305556;;;;;;;;;;;
Belarus;GRINA;53,021389;24,15138889;;;;;;;;;;;
Belarus;KEDUG;53,488333;30,79805556;;;;;;;;;;;
Belarus;KIBER;51,716389;30,63166667;;;;;;;;;;;
Belarus;KODON;55,240000;29,18138889;;;;;;;;;;;
Belarus;KOLAK;53,506389;27,68805556;;;;;;;;;;;
Belarus;KOLOS;53,456389;26,95638889;;;;;;;;;;;
Belarus;KOMAP;53,856389;28,71305556;;;;;;;;;;;
Belarus;KOMEN;53,376389;25,00305556;;;;;;;;;;;
Belarus;KOPON;53,645000;30,75805556;;;;;;;;;;;
Belarus;KOSAN;54,775000;29,27638889;;;;;;;;;;;
Belarus;KUBIN;54,588056;27,69472222;;;;;;;;;;;
Belarus;KUNIN;52,108056;26,85638889;;;;;;;;;;;
Belarus;KUREN;54,671389;26,82972222;;;;;;;;;;;
Belarus;KURPI;54,263056;28,70972222;;;;;;;;;;;
Belarus;KUSIP;52,123056;23,89805556;;;;;;;;;;;
Belarus;LAPKI;54,675000;29,48138889;;;;;;;;;;;
Belarus;LASDA;51,476389;30,26166667;;;;;;;;;;;
Belarus;LEGSI;55,265000;28,92638889;;;;;;;;;;;
Belarus;LENOK;54,551389;27,44138889;;;;;;;;;;;
Belarus;LIMPO;53,254722;28,30805556;;;;;;;;;;;
Belarus;LITVI;54,498056;26,80805556;;;;;;;;;;;
Belarus;LUBIN;54,301667;30,58305556;;;;;;;;;;;
Belarus;LUPAN;53,118056;27,67638889;;;;;;;;;;;
Belarus;MAGEP;51,946389;29,04972222;;;;;;;;;;;
Belarus;MAMIN;52,958333;30,93638889;;;;;;;;;;;
Belarus;MAPAT;52,359722;24,98472222;;;;;;;;;;;
Belarus;MASAD;52,546389;27,13305556;;;;;;;;;;;
Belarus;MATUS;54,103056;27,33805556;;;;;;;;;;;
Belarus;NAMOK;51,604722;28,74972222;;;;;;;;;;;
Belarus;NASKA;53,616389;28,91472222;;;;;;;;;;;
Belarus;NELIM;52,943056;24,16305556;;;;;;;;;;;
Belarus;NELOK;54,568333;29,80805556;;;;;;;;;;;
Belarus;NIMAN;53,649722;24,05138889;;;;;;;;;;;
Belarus;NOPKA;54,329722;25,88638889;;;;;;;;;;;
Belarus;OGARA;52,689722;27,23805556;;;;;;;;;;;
Belarus;PASUD;54,393333;29,93138889;;;;;;;;;;;
Belarus;PENAL;54,518056;28,52138889;;;;;;;;;;;
Belarus;PENAT;53,781667;30,18472222;;;;;;;;;;;
Belarus;PEPAR;53,741389;25,09972222;;;;;;;;;;;
Belarus;PIROS;53,491667;30,14972222;;;;;;;;;;;
Belarus;POTAP;53,069722;24,26805556;;;;;;;;;;;
Belarus;RALIK;53,665000;30,67638889;;;;;;;;;;;
Belarus;RATIN;55,280000;30,86138889;;;;;;;;;;;
Belarus;RAVOK;52,213056;24,09305556;;;;;;;;;;;
Belarus;REKTA;53,891389;29,16972222;;;;;;;;;;;
Belarus;ROMAL;52,203056;30,52166667;;;;;;;;;;;
Belarus;RUBUN;54,434722;26,79972222;;;;;;;;;;;
Belarus;RUDEN;53,618056;27,68972222;;;;;;;;;;;
Belarus;RUMIK;54,460000;30,53805556;;;;;;;;;;;
Belarus;SIVRU;55,031667;29,18805556;;;;;;;;;;;
Belarus;SLEDA;53,551667;30,43305556;;;;;;;;;;;
Belarus;SODKO;54,183333;29,44138889;;;;;;;;;;;
Belarus;SONTI;52,166389;26,85972222;;;;;;;;;;;
Belarus;SOSUD;52,419722;24,96472222;;;;;;;;;;;
Belarus;SUMOK;54,360000;29,60805556;;;;;;;;;;;
Belarus;SUPEK;55,583333;30,94805556;;;;;;;;;;;
Belarus;SURUG;52,559722;24,22138889;;;;;;;;;;;
Belarus;TADIG;54,170000;30,61805556;;;;;;;;;;;
Belarus;TEDRO;54,289722;27,86305556;;;;;;;;;;;
Belarus;TEGLU;55,501667;30,42805556;;;;;;;;;;;
Belarus;TIVAN;53,881389;28,50638889;;;;;;;;;;;
Belarus;TOBLO;52,968333;31,35972222;;;;;;;;;;;
Belarus;UMOO;53,955000;30,09472222;;;;;;;;;;;
Belarus;VALOL;52,224722;23,46638889;;;;;;;;;;;
Belarus;VALTA;55,141667;29,17638889;;;;;;;;;;;
Belgium;ADUSU;49,956111;6,196111111;;;;;;;;;;;
Belgium;AFI03;50,907750;4,217880556;;;;;;;;;;;
Belgium;AFI11;50,716389;4,219655556;;;;;;;;;;;
Belgium;AKOVI;50,747222;3,718611111;;;;;;;;;;;
Belgium;ANT04;51,192919;4,578480556;;;;;;;;;;;
Belgium;ANT06;51,194108;4,631430556;;;;;;;;;;;
Belgium;ANT15;50,954089;4,344838889;;;;;;;;;;;
Belgium;ANT18;50,938458;4,215313889;;;;;;;;;;;
Belgium;ANT40;51,183636;4,577980556;;;;;;;;;;;
Belgium;ANT46;51,161011;4,5849;;;;;;;;;;;
Belgium;ANT60;51,180183;4,630666667;;;;;;;;;;;
Belgium;ANT66;51,152764;4,619580556;;;;;;;;;;;
Belgium;ARCKY;50,299167;6,132222222;;;;;;;;;;;
Belgium;ARDEN;49,861944;4,857777778;;;;;;;;;;;
Belgium;BABIX;51,413056;4,905277778;;;;;;;;;;;
Belgium;BARTU;51,003056;4,171666667;;;;;;;;;;;
Belgium;BATTY;50,649167;5,848888889;;;;;;;;;;;
Belgium;BBE02;50,742214;4,720566667;;;;;;;;;;;
Belgium;BBE05;50,696294;4,677308333;;;;;;;;;;;
Belgium;BBE08;50,699572;4,578272222;;;;;;;;;;;
Belgium;BBE10;50,744619;4,749494444;;;;;;;;;;;
Belgium;BBE11;50,575931;4,719;;;;;;;;;;;
Belgium;BBE14;50,739569;4,742622222;;;;;;;;;;;
Belgium;BBE15;50,776378;4,791658333;;;;;;;;;;;
Belgium;BBE19;50,641556;4,736794444;;;;;;;;;;;
Belgium;BBE20;50,428261;4,679141667;;;;;;;;;;;
Belgium;BBE22;50,719100;4,715697222;;;;;;;;;;;
Belgium;BBE35;50,770006;4,783158333;;;;;;;;;;;
Belgium;BBE50;50,822997;4,846813889;;;;;;;;;;;
Belgium;BBE60;50,773119;4,813447222;;;;;;;;;;;
Belgium;BBE84;50,795617;4,816811111;;;;;;;;;;;
Belgium;BBE99;50,823200;4,949819444;;;;;;;;;;;
Belgium;BBL00;51,292967;5,7175;;;;;;;;;;;
Belgium;BBL02;51,179308;5,517366667;;;;;;;;;;;
Belgium;BBL03;51,158106;5,448330556;;;;;;;;;;;
Belgium;BBL06;51,212422;5,322280556;;;;;;;;;;;
Belgium;BBL09;51,060614;5,3042;;;;;;;;;;;
Belgium;BBL10;51,124153;5,212086111;;;;;;;;;;;
Belgium;BBL12;51,286725;5,724897222;;;;;;;;;;;
Belgium;BBL14;51,197686;5,619213889;;;;;;;;;;;
Belgium;BBL15;51,152217;5,438925;;;;;;;;;;;
Belgium;BBL18;51,296175;5,033275;;;;;;;;;;;
Belgium;BBL20;51,180564;5,416013889;;;;;;;;;;;
