Country;Airport;District;Site;Lat;Long;elevation ft;reports;;;;;;;;;
France;LFJL;GE;Metz/Lorraine Arpt;48,982;6,251;850;METAR, TAF;;;;;;;;;
France;LFJR;PD;Anger/Loire Arpt;47,562;-0,317;164;METAR, TAF;;;;;;;;;
France;LFKB;OC;Bastia/Poretta Arpt;42,553;9,484;23;METAR, TAF;;;;;;;;;
France;LFKC;CO;Calvi/St Catherine Arpt;42,531;8,793;125;METAR, TAF;;;;;;;;;
France;LFKF;CO;Figari/Corse Arpt;41,501;9,098;49;METAR, TAF;;;;;;;;;
France;LFKJ;CO;Ajaccio/Oro Arpt;41,924;8,803;30;METAR, TAF;;;;;;;;;
France;LFKS;CO;Solenzara(AFB);41,924;9,406;72;METAR, TAF;;;;;;;;;
France;LFLA;BF;Auxerre;47,801;3,546;682;;;;;;;;;;
France;LFLB;AR;Chambery Arpt;45,637;5,883;768;METAR, TAF;;;;;;;;;
France;LFLC;AR;Clermont-Ferrand/Auvergne Arpt;45,787;3,169;1066;METAR, TAF;;;;;;;;;
France;LFLD;CV;Bourges Arpt;47,059;2,36;522;;;;;;;;;;
France;LFLH;BF;Chalon Champforgeuil;46,826;4,818;623;;;;;;;;;;
France;LFLL;AR;Lyon/St-Exupéry Arpt;45,726;5,078;768;METAR, TAF;;;;;;;;;
France;LFLM;BF;Mâcon/Charnay Arpt;46,295;4,795;712;;;;;;;;;;
France;LFLN;BF;Saint Yan Arpt;46,412;4,025;781;METAR, TAF;;;;;;;;;
France;LFLP;AR;Annecy/Meythet Arpt;45,93;6,106;1509;METAR, TAF;;;;;;;;;
France;LFLQ;AR;Montelimar/Ancone Arpt;44,581;4,733;236;;;;;;;;;;
France;LFLS;AR;Grenoble/Alpes–Isère Arpt;45,363;5,329;1266;METAR, TAF;;;;;;;;;
France;LFLU;AR;Valence-Chabeuil Arpt;44,922;4,97;531;;;;;;;;;;
France;LFLV;AR;Vichy/Charmeil Arpt;46,167;3,399;814;METAR, TAF;;;;;;;;;
France;LFLW;AR;Aurillac Arpt;44,899;2,421;2093;METAR, TAF;;;;;;;;;
France;LFLX;CV;Chateauroux/Deols Arpt;46,87;1,741;515;METAR, TAF;;;;;;;;;
France;LFLY;AR;Lyon/Bron Arpt;45,726;4,938;646;METAR, TAF;;;;;;;;;
France;LFMA;PA;Aix Les Milles;43,506;5,368;338;;;;;;;;;;
France;LFMC;PA;Le Luc Arpt;43,383;6,386;259;METAR, TAF;;;;;;;;;
France;LFMD;PA;Cannes/Mandelieu Arpt;43,544;6,953;7;METAR, TAF;;;;;;;;;
France;LFME;OC;Nimes/Courbessac;43,854;4,413;187;METAR;;;;;;;;;
France;LFMH;AR;St-Étienne/Bouthéon;45,533;4,293;1312;METAR, TAF;;;;;;;;;
France;LFMI;PA;Istres/Le Tube(AFB);43,516;4,935;66;METAR, TAF;;;;;;;;;
France;LFMK;OC;Carcassonne/Salvaza Arpt;43,214;2,31;407;METAR, TAF;;;;;;;;;
France;LFML;PA;Marseille Arpt;43,438;5,216;66;METAR, TAF;;;;;;;;;
France;LFMN;PA;Nice/Côte d'Azur Arpt;43,658;7,216;13;METAR, TAF;;;;;;;;;
France;LFMO;PA;Orange/Caritat(AB);44,144;4,861;184;METAR, TAF;;;;;;;;;
France;LFMP;OC;Perpignan/Rivesaltes Arpt;42,737;2,873;135;METAR, TAF;;;;;;;;;
France;LFMT;OC;Montpellier/Méditerranee Arpt;43,577;3,963;3;METAR, TAF;;;;;;;;;
France;LFMU;OC;Béziers/Cap d'Agde;43,322;3,353;46;METAR, TAF;;;;;;;;;
France;LFMV;PA;Avignon/Caumont Arpt;43,911;4,903;108;METAR, TAF;;;;;;;;;
France;LFMX;OC;St-Auban-Sur-Duranc;44,062;5,99;1450;;;;;;;;;;
France;LFMY;PA;Salon de Provence(MIL);43,604;5,108;187;METAR, TAF;;;;;;;;;
France;LFNB;OC;Mende/Brenoux;44,502;3,533;3314;;;;;;;;;;
France;LFOA;CV;Avord(AFB);47,052;2,642;571;METAR, TAF;;;;;;;;;
France;LFOB;HD;Beauvais/Tille Arpt;49,454;2,113;325;METAR, TAF;;;;;;;;;
France;LFOC;CV;Chateaudun(AFB);48,061;1,376;407;METAR, TAF;;;;;;;;;
France;LFOE;NO;Evreux/De LEure(AFB);49,025;1,222;433;METAR, TAF;;;;;;;;;
France;LFOF;NO;Alencon/Valframbert;48,446;0,11;469;METAR, TAF;;;;;;;;;
France;LFOH;NO;Le Havre/Octeville Arpt;49,533;0,091;285;METAR, TAF;;;;;;;;;
